N,model,method,bias,rmse,coverage,interval_length
500,logistic,OLS,-0.3822,0.6933,0.01,
500,logistic,Linear_old,-0.3585,0.5077,0.45,0.6015
500,logistic,LASSO,0.3205,0.4441,0.91,1.3731
500,logistic,RF,0.1131,0.3649,0.92,1.2441
500,logistic,Net,0.1829,0.4409,0.98,1.6192
500,truncated_logistic,OLS,-0.3561,0.5649,0.04,
500,truncated_logistic,Linear_old,-0.3255,0.4266,0.43,0.6315
500,truncated_logistic,LASSO,0.0551,0.2789,0.99,1.2154
500,truncated_logistic,RF,0.0141,0.2729,0.98,1.2095
500,truncated_logistic,Net,0.0226,0.2829,0.98,1.2413
500,truncated_adv,OLS,-0.3599,0.6131,0.02,0.0469
500,truncated_adv,Linear_old,-0.317,0.421,0.5,0.6314
500,truncated_adv,LASSO,0.0906,0.2875,0.98,1.219
500,truncated_adv,RF,0.044,0.2802,0.98,1.2117
500,truncated_adv,Net,0.0541,0.2884,0.99,1.2473
1000,logistic,OLS,-0.3641,0.5605,0.04,0.03
1000,logistic,Linear_old,-0.4022,0.4607,0.18,0.4263
1000,logistic,LASSO,0.3058,0.3725,0.82,0.9846
1000,logistic,RF,0.1421,0.7251,0.96,1.2858
1000,logistic,Net,0.0655,0.441,0.96,1.6949
1000,truncated_logistic,OLS,-0.2643,0.3191,0.02,
1000,truncated_logistic,Linear_old,-0.3002,0.3477,0.27,0.4459
1000,truncated_logistic,LASSO,0.0801,0.1977,0.95,0.8562
1000,truncated_logistic,RF,0.0418,0.1849,0.96,0.851
1000,truncated_logistic,Net,0.0475,0.1852,0.98,0.8686
1000,truncated_adv,OLS,-0.3252,0.5536,0.03,0.0233
1000,truncated_adv,Linear_old,-0.2861,0.3321,0.34,0.4445
1000,truncated_adv,LASSO,0.1188,0.2132,0.95,0.8581
1000,truncated_adv,RF,0.0699,0.1937,0.96,0.8523
1000,truncated_adv,Net,0.0771,0.1948,0.96,0.8718
2000,logistic,OLS,-0.3138,0.3721,0.01,0.0151
2000,logistic,Linear_old,-0.3931,0.4264,0.08,0.3027
2000,logistic,LASSO,0.3125,0.3464,0.56,0.7036
2000,logistic,RF,0.0605,0.4119,0.95,1.1448
2000,logistic,Net,0.1013,0.7954,0.96,2.6599
2000,truncated_logistic,OLS,-0.3151,0.4381,0.0,0.0116
2000,truncated_logistic,Linear_old,-0.3056,0.3275,0.1,0.3166
2000,truncated_logistic,LASSO,0.0706,0.1356,0.99,0.6058
2000,truncated_logistic,RF,0.035,0.1182,0.99,0.6038
2000,truncated_logistic,Net,0.0323,0.1179,0.99,0.6132
2000,truncated_adv,OLS,-0.2632,0.292,0.0,0.0116
2000,truncated_adv,Linear_old,-0.3013,0.3269,0.13,0.3162
2000,truncated_adv,LASSO,0.0989,0.1559,0.96,0.6078
2000,truncated_adv,RF,0.0523,0.1301,0.97,0.6057
2000,truncated_adv,Net,0.0496,0.1297,0.97,0.6163
